term,definition,usage_note,status,url,source,category,prov_class,examples,resource_id
Process Protocol,A standard operating procedure (SOP) that is a collection of activities and the rules that describe when each activity is performed to achieve a specific purpose or objective(s).,,Approved,http://purl.obolibrary.org/obo/NCIT_C164368,NCI Thesaurus OBO Edition,Global,prov:Plan,,process-protocol
Project,A temporary endeavor undertaken to achieve defined objectives,,Approved,,"ISO 21506:2024  Project, programme and portfolio management — Vocabulary",Global,prov:Activity,,project
Project Phase,"A collection of logically-related project activities, usually culminating in the completion of an intended goal or devlierable",,Approved,,Project Management Glossary of Terms,Workflows,prov:Plan,,project-phase
Property,A variable that can be considered (as an investigated property) within a processing step,,Approved,http://www.molmod.info/semantics/pims-ii.ttl#Property,Physicalistic Interpretation of Modelling and Simulation - Interoperability Infrastructure,Workflows,prov:Entity,,property
Provenance,"Information that documents the history of a described object and related described activities, and that contains information about the origin or source of the described object, any changes that can have taken place since it was originated, and who has had custody of it since it was originated
","For scientific assertions/claims, this is the process history leading to the assertion being made, including the processes through which evidence is evaluated and the methods through which information used as evidence is created. The transitive nature of provenance means that the provenance history of information used as supporting data becomes provenance for an assertion that uses this information as evidence. Provenance metadata describes these processes, including accounts of who conducted them, what entities participated, and when/where they occurred.",Approved,,"Adopted from http://purl.obolibrary.org/obo/SEPIO_0000058, Master Glossary for DOI Museum Property Directives, ISO 24480:2024(en), and http://purl.obolibrary.org/obo/T4FS_0000309",Collections,prov:Entity,,provenance
Provenance Statement,"Any changes in ownership and custody of a resource since its creation that are significant for its authenticity, integrity, and interpretation.",,Approved,http://purl.org/dc/terms/ProvenanceStatement,DMCI Metadata Terms,Collections,prov:Entity,,provenance-statement
Quantity Kind,Any observable property that can be measured and quantified numerically. ,"Familiar examples include physical properties such as length, mass, time, force, energy, power, electric charge, etc. Less familiar examples include currency, interest rate, price to earning ratio, and information capacity.",Approved,http://qudt.org/schema/qudt/QuantityKind,QUDT Quantity Kind Vocabulary Version 3.1.5,Global,prov:Entity,,quantity-kind
Registrar,"Person responsible for the surveilling, handling and the action(s) of physical placement of material objects in a museum",,Approved,https://www.iso.org/standard/59743.html,ISO 5127:2017(en) Information and documentation — Foundation and vocabulary,Collections,prov:Role,,registrar
Repository,"A Web-based resources that preserve, manage, and provide access to many types of digital materials in a variety of formats.",,Approved,http://purl.obolibrary.org/obo/T4FS_0000489,terms4FAIRskills,Data,prov:Entity,,repository
Requirements,A proposition that states a set of conditions that have to be fulfilled to achieve some specific objective.,,Approved,http://purl.allotrope.org/ontologies/result#AFR_0001872,Allotrope Foundation Ontology,Data,prov:Plan,,requirements
Research Data Publication Workflow,"Activities and processes in a digital environment that lead to the publication of research data, associated metadata and accompanying documentation and software code on the Web.","In contrast to interim or final published products, workflows are the means to curate, document, and review, and thus ensure and enhance the value of the published product. Workflows can involve both humans and machines and often humans are supported by technology as they perform steps in the workflow. Similar workflows may vary in the details depending on the research discipline, data publishing product and/or the host institution of the workflow.",Approved,http://purl.obolibrary.org/obo/T4FS_0000190,terms4FAIRskills,Workflows,prov:Activity,,research-data-publication-workflow
Role,"The function of an entity or agent with respect to an activity, in the context of a usage, generation, invalidation, association, start, and end.",,Approved,http://www.w3.org/ns/prov#Role,PROV-O Ontology,Global,prov:Entity,,role
Sample,A material entity that represents a specific known entity (feature of interest),,Approved,,This Document,Collections,prov:Entity,,sample
Sample Collection Data Entry,A planned process that involves the initial entering of data about sample collection into a database.,,Approved,http://purl.obolibrary.org/obo/OBIB_0000708,Ontology for BIoBanking (OBIB),Collections,prov:Activity,,sample-collection-data-entry
Semantic Interoperability,"The capability of different information systems to communicate information consistent with the intended meaning, which encompasses the data structure elements involved, the terminology appearing as data and the associated identifiers",,Approved,https://cidoc-crm.org/sites/default/files/cidoc_crm_version_7.1.3.pdf,CIDOC Conceptual Reference Model version 7.1.3,Data,prov:Plan,,semantic-interoperability
Serial Workflow,A workflow whose tasks are carried in a sequence defined in a planned process,,Approved,https://w3id.org/emmo#EMMO_57ba1bf0_4314_432c_a9bb_6a6720c8dab5,Elementary Multiperspective Material Ontology,Workflows,prov:Activity,,serial-workflow
Social Sciences,"The social sciences are academic disciplines concerned with the study of the social life of human groups and individuals including anthropology, economics, geography, history, political science, psychology, social studies, and sociology.",,Approved,https://w3id.org/skgo/modsci#SocialSciences,Modern Science Ontology,Collections,prov:Activity,,social-sciences
Source Data Verification,"Confirming the accuracy, authenticity, and thoroughness of information by comparing it to original information and records.",,Approved,http://purl.obolibrary.org/obo/NCIT_C142752,NCI Thesaurus OBO Edition,Workflows,prov:Activity,,source-data-verification
Space Science,"Space science encompasses all of the scientific disciplines that involve space exploration and study natural phenomena and physical bodies occurring in outer space, such as space medicine and astrobiology.",Subclass of Earth Science,Approved,https://w3id.org/skgo/modsci#SpaceScience,Modern Science Ontology,Collections,prov:Activity,,space-science
Specialized Material Entity,"A specialized material entity is a material entity that is defined by having some quality, role or capability.",,Approved,http://semanticscience.org/resource/SIO_010410,Semanticscience Integrated Ontology,Collections,prov:Entity,,specialized-material-entity
Specification,"A specification is a description of the essential technical attributes/requirements for an object or procedure, and may be used to determine that the object / procedure meets its requirements/attributes.",,Provisional,http://semanticscience.org/resource/SIO_000090,Semanticscience Integrated Ontology,Workflows,prov:Plan,,specification
Specimen,"A material entity that represents a generalized population or ""kind of"" something defined within some context.","Within the context of museum collections, specimens are collection objects commonly collected with the intent to provide information about the population or source entity it represents.",Approved,,This Document,Collections,prov:Entity,,specimen
Step,An atomic unit of a workflow plan that describes a specific task performed by an Agent,"A workflow step usually involves some input information, material or energy needed to complete the step, and some output information, material or energy produced by that step.
",Approved,,"Adopted from ISO 12651-2:2014, http://purl.org/spar/pwo/Step",Workflows,prov:Plan,,step
Subprocess,A process that is included within another Process.,,Approved,https://www.irit.fr/recherches/MELODI/ontologies/BBO#SubProcess,BPMN Based Ontology,Workflows,prov:Activity,,subprocess
Task,"An atomic unit of a task in a workflow procedure where one or more distinct, clearly defined actions are performed and may be characterized by a starting and ending time","The concept of task is developed in strict connection with the concept of workflow: a task is always part of a workflow and a workflow always possess some tasks. This makes the relation between task and workflow an holistic relation, with task as role and workflow as whole.",Approved,,"This Document, Usage notes adopted from https://w3id.org/emmo#EMMO_4299e344_a321_4ef2_a744_bacfcce80afc and https://www.irit.fr/recherches/MELODI/ontologies/BBO#Task",Workflows,prov:Activity,,task
Tool,Physical or digital eesource that helps an agent perform an action,,Approved,http://w3id.org/nfdi4ing/metadata4ing#Tool,Metadata4Ing: An ontology for describing the generation of research data within a scientific activity.,Workflows,prov:Entity,,tool
Transaction,"A cooperative interaction between two agents, involving the exchange or transfer of exchangeable products, services, rights, or funds or the processing of some request by one entity on behalf of the other",,Approved,,"Adopted from ISO/IEC TR 15067-3-8:2020 and ISO 6707-2:2017(en), 3.2.53",Workflows,prov:Activity,,transaction
Transaction Identifier,A global or local identifiers for a specific transaction,,Approved,,This Document,Workflows,prov:Entity,,transaction-identifier
Trigger,A specific event in a planned process that initializes a new workflow branch,Newly created workflows initiated by a formalized trigger are referred to as branches. ,Approved,,This Document,Workflows,prov:Activity,,trigger
Validation,A planned process with objective to check that the accuracy or the quality of a claim or prediction satisfies some criteria and which is assessed by comparing with independent results,,Approved,http://purl.obolibrary.org/obo/OBI_0302911,Ontology for Biomedical Investigations,Data,prov:Activity,,validation
Value,An articulation that is by social convention understood to be potentially assignable to a variable,,Approved,http://www.molmod.info/semantics/pims-ii.ttl#Value,Physicalistic Interpretation of Modelling and Simulation - Interoperability Infrastructure,Data,prov:Entity,,value
Voucher specimen,A specimen that physically and permanently documents data in  published literature by verifying the identity of the organism(s) used in the  study and by doing so ensures that a study which otherwise could not be  repeated can be accurately reviewed or reassessed. ,Rock and  mineral specimens may serve as vouchers to document the geology of an area.,Approved,,Master Glossary for DOI Museum Property Directives,Collections,prov:Entity,,voucher-specimen
Workflow,"A recorded sequence of connected steps, which may be automated, specifying a reliably repeatable sequence of operations to be undertaken during the lifecycle of data",A workflow is a type of prov:Activity that has at least two procedures as proper parts. A workflow may be seen as an abstract model of real work.,Approved,,"Adopted from EMMO, http://purl.org/spar/fabio/Workflow, http://purl.org/spar/pwo/Workflow",Workflows,prov:Activity,,workflow
Workflow Action,An Event with at least one participatory Agent that executes a Task that typically defined in a Plan as part of a Workflow,,Approved,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Action,DOLCE+DnS Ultralite ontology,Workflows,prov:Activity,,workflow-action
Workflow Branch,A new instance of a workflow that splits from an existing workflow triggered by a planned activity such as acquiring a new collection object from an existing one (subsampling). The new workflow runs in parallel and is optionally reconnected for mobilization purposes.,,Approved,,This Document,Workflows,prov:Entity,,workflow-branch
Workflow Event,Something that “happens” during a process as part of a workflow and commonly affects the flow of the process.,"Here event is generalized to cover many things in a process, including the start or end of an Activity or a change in state of a specimen",Approved,,Adopted from https://www.irit.fr/recherches/MELODI/ontologies/BBO#Event,Workflows,prov:Activity,,workflow-event
Workflow Management System,"A system that defines, creates and manages the execution of workflows through the use of software, running on one or more workflow engines, which is able to interpret the process definition, interact with workflow participants and, where required, invoke the use of IT tools and applications.",,Approved,,Workflow Management Coalition Specification Document Number WFMC-TC-1011.,Workflows,prov:Entity,,workflow-management-system
Workflow Phase,"A distinguished part of a workflow comprised of a grouping of processes based on conceptual, thematic, functional and temporal criteria",Phases must be defined explicitly and unambiguously with minimal semantic overlap between phases belonging to the same workflow,Approved,,"This Document with contributions from ISO 24635-1:2025 and ISO/TS 16710-1:2024
",Workflows,prov:Activity,,workflow-phase
Workflow Tool,"Device, system or software used by an Agent to perform specific workflow tasks",,Approved,,Adopted from ISO/IEC 23000-15:2016,Workflows,prov:Entity,,workflow-tool
