term,definition,usage_note,status,url,source,category,prov_class,examples
Step,An atomic unit of a workflow plan that describes a specific task performed by an Agent,"A workflow step usually involves some input information, material or energy needed to complete the step, and some output information, material or energy produced by that step.
",Approved,,"Adopted from ISO 12651-2:2014, http://purl.org/spar/pwo/Step",Workflows,prov:Plan,
Subprocess,A process that is included within another Process.,,Approved,https://www.irit.fr/recherches/MELODI/ontologies/BBO#SubProcess,BPMN Based Ontology,Workflows,prov:Activity,
Task,"An atomic unit of a task in a workflow procedure where one or more distinct, clearly defined actions are performed and may be characterized by a starting and ending time","The concept of task is developed in strict connection with the concept of workflow: a task is always part of a workflow and a workflow always possess some tasks. This makes the relation between task and workflow an holistic relation, with task as role and workflow as whole.",Approved,,"This Document, Usage notes adopted from https://w3id.org/emmo#EMMO_4299e344_a321_4ef2_a744_bacfcce80afc and https://www.irit.fr/recherches/MELODI/ontologies/BBO#Task",Workflows,prov:Activity,
Tool,Physical or digital eesource that helps an agent perform an action,,Approved,http://w3id.org/nfdi4ing/metadata4ing#Tool,Metadata4Ing: An ontology for describing the generation of research data within a scientific activity.,Workflows,prov:Entity,
Transaction,"A cooperative interaction between two agents, involving the exchange or transfer of exchangeable products, services, rights, or funds or the processing of some request by one entity on behalf of the other",,Approved,,"Adopted from ISO/IEC TR 15067-3-8:2020 and ISO 6707-2:2017(en), 3.2.53",Workflows,prov:Activity,
Transaction Identifier,A global or local identifiers for a specific transaction,,Approved,,This Document,Workflows,prov:Entity,
Trigger,A specific event in a planned process that initializes a new workflow branch,Newly created workflows initiated by a formalized trigger are referred to as branches. ,Approved,,This Document,Workflows,prov:Activity,
Validation,A planned process with objective to check that the accuracy or the quality of a claim or prediction satisfies some criteria and which is assessed by comparing with independent results,,Approved,http://purl.obolibrary.org/obo/OBI_0302911,Ontology for Biomedical Investigations,Data,prov:Activity,
Value,An articulation that is by social convention understood to be potentially assignable to a variable,,Approved,http://www.molmod.info/semantics/pims-ii.ttl#Value,Physicalistic Interpretation of Modelling and Simulation - Interoperability Infrastructure,Data,prov:Entity,
Voucher specimen,A specimen that physically and permanently documents data in  published literature by verifying the identity of the organism(s) used in the  study and by doing so ensures that a study which otherwise could not be  repeated can be accurately reviewed or reassessed. ,Rock and  mineral specimens may serve as vouchers to document the geology of an area.,Approved,,Master Glossary for DOI Museum Property Directives,Collections,prov:Entity,
Workflow,"A recorded sequence of connected steps, which may be automated, specifying a reliably repeatable sequence of operations to be undertaken during the lifecycle of data",A workflow is a type of prov:Activity that has at least two procedures as proper parts. A workflow may be seen as an abstract model of real work.,Approved,,"Adopted from EMMO, http://purl.org/spar/fabio/Workflow, http://purl.org/spar/pwo/Workflow",Workflows,prov:Activity,
Workflow Action,An Event with at least one participatory Agent that executes a Task that typically defined in a Plan as part of a Workflow,,Approved,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Action,DOLCE+DnS Ultralite ontology,Workflows,prov:Activity,
Workflow Event,Something that “happens” during a process as part of a workflow and commonly affects the flow of the process.,"Here event is generalized to cover many things in a process, including the start or end of an Activity or a change in state of a specimen",Approved,,Adopted from https://www.irit.fr/recherches/MELODI/ontologies/BBO#Event,Workflows,prov:Activity,
Workflow Management System,"A system that defines, creates and manages the execution of workflows through the use of software, running on one or more workflow engines, which is able to interpret the process definition, interact with workflow participants and, where required, invoke the use of IT tools and applications.",,Approved,,Workflow Management Coalition Specification Document Number WFMC-TC-1011.,Workflows,prov:Entity,
Workflow Phase,"A distinguished part of a workflow comprised of a grouping of processes based on conceptual, thematic, functional and temporal criteria",Phases must be defined explicitly and unambiguously with minimal semantic overlap between phases belonging to the same workflow,Approved,,"This Document with contributions from ISO 24635-1:2025 and ISO/TS 16710-1:2024
",Workflows,prov:Activity,
Workflow Tool,"Device, system or software used by an Agent to perform specific workflow tasks",,Approved,,Adopted from ISO/IEC 23000-15:2016,Workflows,prov:Entity,
Contributor,An entity responsible for making contributions to the resource.,,Approved,http://purl.org/dc/terms/contributor,DCMI Metadata Terms,Collections,prov:Role,
Glossary,A collection of defined concepts within a domain,,Approved,http://purl.obolibrary.org/obo/NCIT_C18232,NCI Thesaurus OBO Edition,Global,prov:Entity,
Anthropology,"Anthropology is the scientific study of humans, human behavior and societies in the past and present.",Subclass of Social Sciences,Approved,https://w3id.org/skgo/modsci#Anthropology,Modern Science Ontology,Collections,prov:Activity,
Archaeological material,"This class represents an archaeological material, that is a part of a lot of archaeological materials.",,Approved,https://w3id.org/arco/ontology/arco/ArchaeologicalMaterial,ArCo Ontology - Architecture of Knowledge,Collections,prov:Entity,
Archaeology,"Archaeology, or archeology, is the study of human activity through the recovery and analysis of material culture.",Subclass of Social Science,Approved,https://w3id.org/skgo/modsci#Archaeology,Modern Science Ontology,Collections,prov:Activity,
Biology,Biology is the science of life. It is concerned with the characteristics and behaviors of organisms,,Approved,https://w3id.org/skgo/modsci#Biology,Modern Science Ontology,Collections,prov:Activity,
Crystallography,Crystallography is the scientific study of crystals.,Subclass of Chemistry,Approved,https://w3id.org/skgo/modsci#Crystallography,Modern Science Ontology,Collections,prov:Activity,
Environmental Science,"Environmental science is the science of the interactions between the physical, chemical, and biological components of the environment, but with particular attention to the effects of humans on the natural environment.",Subclass of Earth Science,Approved,https://w3id.org/skgo/modsci#EnvironmentalScience,Modern Science Ontology,Collections,prov:Activity,
Fossils,"Recognizable remains such as bones, shells, leaves, burrows, impressions, or tracks of past life on the earth.",,Approved,https://apps.usgs.gov/thesaurus/download/USGSThesaurus.rdf,USGS Thesaurus,Collections,prov:Entity,
Geology,"Study of the planet earth, its composition, structure, physical and chemical processes, and history since its origin.",,Approved,https://apps.usgs.gov/thesaurus/download/USGSThesaurus.rdf,USGS Thesaurus,Collections,prov:Activity,
Natural Sciences,The natural sciences are those branches of empirical science that produce a comprehension of the natural world through the use of data collected from it by observation and measurement to construct deterministic and/or stochastic quantitative models of its phenomena.,,Approved,https://w3id.org/skgo/modsci#NaturalScience,Modern Science Ontology,Collections,prov:Activity,
Paleontology,"Paleontology is the study of the developing history of life on earth, of ancient plants and animals based on the fossil record, evidence of their existence preserved in rocks.",Subclass of Biology,Approved,https://w3id.org/skgo/modsci#Paleontology,Modern Science Ontology,Collections,prov:Activity,
Space Science,"Space science encompasses all of the scientific disciplines that involve space exploration and study natural phenomena and physical bodies occurring in outer space, such as space medicine and astrobiology.",Subclass of Earth Science,Approved,https://w3id.org/skgo/modsci#SpaceScience,Modern Science Ontology,Collections,prov:Activity,
Specialized Material Entity,"A specialized material entity is a material entity that is defined by having some quality, role or capability.",,Approved,http://semanticscience.org/resource/SIO_010410,Semanticscience Integrated Ontology,Collections,prov:Entity,
Social Sciences,"The social sciences are academic disciplines concerned with the study of the social life of human groups and individuals including anthropology, economics, geography, history, political science, psychology, social studies, and sociology.",,Approved,https://w3id.org/skgo/modsci#SocialSciences,Modern Science Ontology,Collections,prov:Activity,
Cultural Studies,"Cultural studies is a field of theoretically, politically, and empirically engaged cultural analysis that concentrates upon the political dynamics of contemporary culture, its historical foundations, defining traits, conflicts, and contingencies.",,Approved,https://w3id.org/skgo/modsci#CulturalStudies,Modern Science Ontology,Collections,prov:Activity,
Cultural Heritage,"Legacy of physical objects and intangible attributes of a group or a society that are inherited from past generations, maintained and protected in the present and preserved for future generations",,Approved,,ISO 18461:2016(en) International museum statistics,Collections,prov:Entity,
Library,"Organization, or part of an organization, the main aim of which is to facilitate the use of such information resources, services and facilities as are required to meet the informational, research, educational, cultural or recreational needs of its users",,Approved,,ISO 18461:2016 International museum statistics,Collections,prov:Entity,
Bioinformatics Pipeline,A software pipeline that is composed of a wide array of software algorithms to process biological raw data.,,Approved,http://purl.obolibrary.org/obo/NGBO_6000685,,Data,prov:Entity,
Pipeline,"Full set of logically connected steps needed to transform input data into a result, for which one or more outputs of one data transformation step can be the input of one or more subsequent steps",,Approved,,"ISO/IEC 11179-34:2024(en) Information technology — Metadata registries (MDR) — Part 34: Metamodel for computable data registration
",Data,prov:Entity,
