id,term,definition,usage_note,status,uri,source,category,prov_class,examples,last_modified
122,Tool,Physical or digital eesource that helps an agent perform an action,,Approved,http://w3id.org/nfdi4ing/metadata4ing#Tool,,Workflows,prov:Entity,,20251013
123,Transaction,"A cooperative interaction between two agents, involving the exchange or transfer of exchangeable products, services, rights, or funds or the processing of some request by one entity on behalf of the other",,Approved,,"Adopted from ISO/IEC TR 15067-3-8:2020 and ISO 6707-2:2017(en), 3.2.53",Workflows,prov:Activity,,20251013
124,Transaction Identifier,A global or local identifiers for a specific transaction,,Approved,,This Document,Workflows,prov:Entity,,20251013
125,Trigger,A specific event in a planned process that initializes a new workflow branch,Newly created workflows initiated by a formalized trigger are referred to as branches. ,Approved,,This Document,Workflows,prov:Activity,,20251013
126,Validation,A planned process with objective to check that the accuracy or the quality of a claim or prediction satisfies some criteria and which is assessed by comparing with independent results,,Approved,http://purl.obolibrary.org/obo/OBI_0302911,,Data,prov:Activity,,20251013
127,Value,An articulation that is by social convention understood to be potentially assignable to a variable,,Approved,http://www.molmod.info/semantics/pims-ii.ttl#Value,,Data,prov:Entity,,20251013
128,Voucher specimen,A specimen that physically and permanently documents data in  published literature by verifying the identity of the organism(s) used in the  study and by doing so ensures that a study which otherwise could not be  repeated can be accurately reviewed or reassessed. ,Rock and  mineral specimens may serve as vouchers to document the geology of an area.,Approved,,Master Glossary for DOI Museum Property Directives,Collections,prov:Entity,,20251013
129,Workflow,"A recorded sequence of connected steps, which may be automated, specifying a reliably repeatable sequence of operations to be undertaken during the lifecycle of data",A workflow is a type of prov:Activity that has at least two procedures as proper parts. A workflow may be seen as an abstract model of real work.,Approved,,"Adopted from EMMO, http://purl.org/spar/fabio/Workflow, http://purl.org/spar/pwo/Workflow",Workflows,prov:Activity,,20251013
130,Workflow Action,An Event with at least one participatory Agent that executes a Task that typically defined in a Plan as part of a Workflow,,Approved,http://www.ontologydesignpatterns.org/ont/dul/DUL.owl#Action,,Workflows,prov:Activity,,20251013
131,Workflow Event,Something that “happens” during a process as part of a workflow and commonly affects the flow of the process.,"Here event is generalized to cover many things in a process, including the start or end of an Activity or a change in state of a specimen",Approved,,Adopted from https://www.irit.fr/recherches/MELODI/ontologies/BBO#Event,Workflows,prov:Activity,,20251013
132,Workflow Management System,"A system that defines, creates and manages the execution of workflows through the use of software, running on one or more workflow engines, which is able to interpret the process definition, interact with workflow participants and, where required, invoke the use of IT tools and applications.",,Approved,,Workflow Management Coalition Specification Document Number WFMC-TC-1011.,Workflows,prov:Entity,,20251013
133,Workflow Phase,"A distinguished part of a workflow comprised of a grouping of processes based on conceptual, thematic, functional and temporal criteria",Phases must be defined explicitly and unambiguously with minimal semantic overlap between phases belonging to the same workflow,Approved,,"This Document with contributions from ISO 24635-1:2025 and ISO/TS 16710-1:2024
",Workflows,prov:Activity,,20251013
134,Workflow Tool,"Device, system or software used by an Agent to perform specific workflow tasks",,Approved,,Adopted from ISO/IEC 23000-15:2016,Workflows,prov:Entity,,20251013
